Sample,Modality,Method,Burden,MAE,Cosine,Top_Process_Truth,Top_Process_Pred,Top1_Process_Match,Modal_Mass_Error
SIM-0412,ID,Naive pooled UGA NNLS,277,0.01688246290362527,0.9928039758273669,3,3,1.0,0.011041296195458572
SIM-0413,SBS,Separate categorical NNLS,987,0.002460039258633105,0.9998968910278011,3,3,1.0,
SIM-0413,SBS,Separate UGA NNLS,987,0.0012214967926653462,0.9999682716214896,3,3,1.0,
SIM-0413,DBS,Separate categorical NNLS,57,0.04501056413979428,0.8920717319273899,3,3,1.0,
SIM-0413,DBS,Separate UGA NNLS,57,0.0062441200542285675,0.9994620872896244,3,3,1.0,
SIM-0413,ID,Separate categorical NNLS,133,0.004141047976807065,0.9995474959397641,3,3,1.0,
SIM-0413,ID,Separate UGA NNLS,133,0.0043861249174686825,0.9996435771018554,3,3,1.0,
SIM-0413,SBS,Naive pooled UGA NNLS,987,0.0035079245979321755,0.9997834334328937,3,3,1.0,0.0067834111407563125
SIM-0413,DBS,Naive pooled UGA NNLS,57,0.01992993900107323,0.9900780453697425,3,3,1.0,0.006072217680883604
SIM-0413,ID,Naive pooled UGA NNLS,133,0.016206551628890477,0.9903451657017256,3,3,1.0,0.0007111934598727498
SIM-0414,SBS,Separate categorical NNLS,2257,0.0012071792314991383,0.9999821356827039,5,5,1.0,
SIM-0414,SBS,Separate UGA NNLS,2257,0.0012027465062070624,0.9999850225793331,5,5,1.0,
SIM-0414,DBS,Separate categorical NNLS,55,0.00334216739185554,0.9996591891165653,5,5,1.0,
SIM-0414,DBS,Separate UGA NNLS,55,0.004559071214406703,0.9995500910057916,5,5,1.0,
SIM-0414,ID,Separate categorical NNLS,121,0.0026807448068924124,0.9998826251202801,5,5,1.0,
SIM-0414,ID,Separate UGA NNLS,121,0.0014933076884964056,0.9999416649426028,5,5,1.0,
SIM-0414,SBS,Naive pooled UGA NNLS,2257,0.0006275246695751426,0.9999941889933432,5,5,1.0,0.007905437772550261
SIM-0414,DBS,Naive pooled UGA NNLS,55,0.023178972281594268,0.9860817864452182,5,5,1.0,1.6766213648402445e-05
SIM-0414,ID,Naive pooled UGA NNLS,121,0.016244498568478878,0.9940723667745336,5,5,1.0,0.00792220398619875
SIM-0415,SBS,Separate categorical NNLS,1243,0.006022128788183406,0.9988019786273842,1,1,1.0,
SIM-0415,SBS,Separate UGA NNLS,1243,0.0012390132185498414,0.9999734632005667,1,1,1.0,
SIM-0415,DBS,Separate categorical NNLS,35,0.03604327118799814,0.9634572189005473,1,1,1.0,
SIM-0415,DBS,Separate UGA NNLS,35,0.007464303752957135,0.9986050804875267,1,1,1.0,
SIM-0415,ID,Separate categorical NNLS,98,0.006883727271735286,0.998429351683566,1,1,1.0,
SIM-0415,ID,Separate UGA NNLS,98,0.004197079177143907,0.9994721111543665,1,1,1.0,
SIM-0415,SBS,Naive pooled UGA NNLS,1243,0.0022275812173055344,0.9999084343880075,1,1,1.0,0.002664319312307817
SIM-0415,DBS,Naive pooled UGA NNLS,35,0.030528511052580098,0.9866991886848324,1,1,1.0,0.004250398319294569
SIM-0415,ID,Naive pooled UGA NNLS,98,0.018955637873909057,0.9941355245778845,1,1,1.0,0.0015860790069869707
SIM-0416,SBS,Separate categorical NNLS,1796,0.0014930129829073902,0.9999681182606419,1,1,1.0,
SIM-0416,SBS,Separate UGA NNLS,1796,0.002142120705913675,0.9999513975567899,1,1,1.0,
SIM-0416,DBS,Separate categorical NNLS,65,0.05144167723443507,0.8780260096244272,1,1,1.0,
SIM-0416,DBS,Separate UGA NNLS,65,0.005442701921474399,0.9996634621071074,1,1,1.0,
SIM-0416,ID,Separate categorical NNLS,57,0.015645354561278777,0.9947942936599697,1,1,1.0,
SIM-0416,ID,Separate UGA NNLS,57,0.004319159339441243,0.9997555628635391,1,1,1.0,
SIM-0416,SBS,Naive pooled UGA NNLS,1796,0.002585238051454755,0.9999052205860292,1,1,1.0,0.003504503800886627
SIM-0416,DBS,Naive pooled UGA NNLS,65,0.023478598881773383,0.9921944895887232,1,1,1.0,0.002642689482503416
SIM-0416,ID,Naive pooled UGA NNLS,57,0.017543859649122806,0.9936083081811076,1,1,1.0,0.0008618143183830723
SIM-0417,SBS,Separate categorical NNLS,1704,0.005682892303750399,0.9993968551381908,6,6,1.0,
SIM-0417,SBS,Separate UGA NNLS,1704,0.0009043910306862748,0.9999836748189873,6,6,1.0,
SIM-0417,DBS,Separate categorical NNLS,44,0.013344512588724551,0.9942755624686992,6,6,1.0,
SIM-0417,DBS,Separate UGA NNLS,44,0.004872795829255881,0.9995987126599921,6,6,1.0,
SIM-0417,ID,Separate categorical NNLS,92,0.0025199329207514823,0.9996769845667838,6,6,1.0,
SIM-0417,ID,Separate UGA NNLS,92,0.00402527504613532,0.9996328898846022,6,6,1.0,
SIM-0417,SBS,Naive pooled UGA NNLS,1704,0.001215887868327013,0.9999797849181699,6,6,1.0,0.0034232632304800337
SIM-0417,DBS,Naive pooled UGA NNLS,44,0.009655042530468623,0.9979208366862165,6,6,1.0,0.0010001210582760815
SIM-0417,ID,Naive pooled UGA NNLS,92,0.019215817787067442,0.9929662417460372,6,6,1.0,0.0024231421722039487
SIM-0418,SBS,Separate categorical NNLS,958,0.003306342188513462,0.9997892593201676,6,6,1.0,
SIM-0418,SBS,Separate UGA NNLS,958,0.0017155973721906161,0.9999382873861417,6,6,1.0,
SIM-0418,DBS,Separate categorical NNLS,89,0.004811350174545021,0.9989950620034197,6,6,1.0,
SIM-0418,DBS,Separate UGA NNLS,89,0.0007258437701206398,0.9999894159083973,6,6,1.0,
SIM-0418,ID,Separate categorical NNLS,66,0.007944026559930518,0.9986367554424672,6,6,1.0,
SIM-0418,ID,Separate UGA NNLS,66,0.005150638296960029,0.9992438809844564,6,6,1.0,
SIM-0418,SBS,Naive pooled UGA NNLS,958,0.003506249899729051,0.9995130706683865,6,6,1.0,0.006850510514878394
SIM-0418,DBS,Naive pooled UGA NNLS,89,0.010784640143196272,0.9944815077578826,6,6,1.0,0.0014234761908496624
SIM-0418,ID,Naive pooled UGA NNLS,66,0.029677738745831215,0.9679560258624729,6,6,1.0,0.005427034324028614
SIM-0419,SBS,Separate categorical NNLS,1561,0.003934146526325104,0.9993188546684075,12,12,1.0,
SIM-0419,SBS,Separate UGA NNLS,1561,0.0012950786799812185,0.99997444869192,12,12,1.0,
SIM-0419,DBS,Separate categorical NNLS,65,0.015026130052883448,0.9917438183838814,12,12,1.0,
