modality,representation,algorithm,patient,mutation_burden,cosine,mae,n_active_truth_signatures,n_active_predicted_signatures
SBS,standard,NNLS,SP124401,3836.0,0.8295885785928303,0.007951597649189,5,9
SBS,standard,NNLS,SP124403,100.0,0.6859657101288077,0.0112207976195829,6,8
SBS,standard,NNLS,SP124406,604.0,0.713934744889722,0.0108444525332964,6,18
SBS,standard,NNLS,SP124409,1566.0,0.8793507891058034,0.0089961458675821,4,12
SBS,standard,NNLS,SP124412,552.0,0.7799556867332431,0.0097240744448118,5,19
SBS,standard,NNLS,SP124415,5572.0,0.8777606102711498,0.0085886995758367,5,11
SBS,standard,NNLS,SP124418,680.0,0.892786005598383,0.0078363324441475,5,18
SBS,standard,NNLS,SP124420,538.0,0.7633345190815678,0.0096658296729253,6,12
SBS,standard,NNLS,SP124423,211.0,0.919867319052887,0.0078317467642255,6,13
SBS,standard,NNLS,SP124425,681.0,0.8351551342211845,0.0084143054267468,6,13
SBS,standard,NNLS,SP124428,2286.0,0.8040803377296257,0.0089952140547714,6,6
SBS,standard,NNLS,SP124431,804.0,0.8238025573780874,0.0083318932000547,5,16
SBS,standard,NNLS,SP124434,681.0,0.7764705303308262,0.0104984389922548,6,12
SBS,standard,NNLS,SP124436,2128.0,0.862986100684885,0.008473023212178,5,20
SBS,standard,NNLS,SP124439,2315.0,0.8010178829246272,0.0088283091886733,5,12
SBS,standard,NNLS,SP124441,102.0,0.5300788152811502,0.0135009673383049,5,31
SBS,standard,NNLS,SP124444,194.0,0.8451908334018553,0.0082477773076426,6,17
SBS,standard,NNLS,SP124447,3737.0,0.8539341168315386,0.0084477142641684,5,11
SBS,standard,NNLS,SP124449,922.0,0.8553020006873759,0.0092482489738594,5,13
SBS,standard,NNLS,SP124452,748.0,0.817360412113974,0.0085140963669147,6,10
SBS,standard,NNLS,SP124454,412.0,0.824660371609333,0.0090939967733142,6,17
SBS,standard,NNLS,SP124456,341.0,0.8867452852403793,0.0074601709244622,6,12
SBS,standard,NNLS,SP124458,1489.0,0.7998784791935143,0.0087839671531755,6,12
SBS,standard,NNLS,SP124460,1187.0,0.7597394212475007,0.0097997854421873,5,10
SBS,standard,NNLS,SP124462,915.0,0.8042822083483739,0.0092019714938958,6,11
SBS,standard,NNLS,SP124969,244.0,0.1072253801837339,0.0177263545669544,11,23
SBS,standard,NNLS,SP124971,116.0,0.0539097289023783,0.0186485058391899,5,20
SBS,standard,NNLS,SP124977,78.0,0.0066544097498744,0.0201053072667694,5,19
SBS,standard,NNLS,SP124981,52.0,0.0028198170411132,0.0204314116724501,3,14
SBS,standard,NNLS,SP125685,69.0,0.7857381614484099,0.0118029253956666,4,23
SBS,standard,NNLS,SP125686,64.0,0.1301577675758055,0.0173918673213344,3,15
SBS,standard,NNLS,SP125689,139.0,0.0521070938348273,0.0183913750266734,8,25
SBS,standard,NNLS,SP125691,141.0,0.3932908056665607,0.0146062646455131,3,19
SBS,standard,NNLS,SP125693,115.0,0.2909592780472813,0.0161934246336848,5,18
SBS,standard,NNLS,SP125694,58.0,0.7142300262362946,0.0117460858927041,2,17
SBS,standard,NNLS,SP125695,44.0,0.5940860085682458,0.0129506708219296,5,11
SBS,standard,NNLS,SP125696,70.0,0.3661823033947838,0.0151155559614636,6,15
SBS,standard,NNLS,SP125698,96.0,0.0701160686126225,0.018066513454296,5,25
SBS,standard,NNLS,SP125699,71.0,0.3441585371845287,0.0148464550620198,3,16
SBS,standard,NNLS,SP125703,49.0,0.2280827045007047,0.0155077530040537,4,14
SBS,standard,NNLS,SP125704,40.0,0.2265566583073166,0.0162539820878215,3,12
SBS,standard,NNLS,SP125705,59.0,0.7424876385825909,0.0136057015012251,2,18
SBS,standard,NNLS,SP125706,115.0,0.0430029217425265,0.0186442112257144,6,24
SBS,standard,NNLS,SP125707,1.0,0.0,0.0206185567010309,5,2
SBS,standard,NNLS,SP125710,51.0,0.4582705657776283,0.0157123333130952,2,14
SBS,standard,NNLS,SP125711,60.0,0.2774084405754773,0.0172988153985615,4,16
SBS,standard,NNLS,SP125712,47.0,0.4895029332483352,0.014547049193334,4,14
SBS,standard,NNLS,SP125713,125.0,0.1921912857899091,0.015582653039791,5,22
SBS,standard,NNLS,SP125714,56.0,0.6375877494132043,0.0117674911304188,6,14
SBS,standard,NNLS,SP125715,25.0,0.0969008912377351,0.0187937287065464,5,11
SBS,standard,NNLS,SP125717,34.0,0.8543646365286792,0.0089376276763753,2,12
