benchmark,endpoint,family,task,representation,metric,score,n_samples,n_classes,n_features,n_folds,model,split_strategy,tuning,n_estimators,max_depth,learning_rate,tree_method,balanced_accuracy_at_0p5,balanced_accuracy_argmax,accuracy,macro_f1,delta_vs_standard,delta_vs_previous_uga_mean
mc3_hrd_kmt2c,luad_kmt2c_mutated,mc3_kmt2c_supportive,binary,standard_sbs96_id83,auroc,0.6644123134328358,515,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.5815231876332623,,,,0.0,-0.050839552238805985
mc3_hrd_kmt2c,luad_kmt2c_mutated,mc3_kmt2c_supportive,binary,uga_rbf_kernel_mean,auroc,0.7117703891257995,515,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.6226679104477612,,,,0.047358075692963686,-0.003481476545842299
mc3_hrd_kmt2c,os_event,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.6517407506205827,10139,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.6152834545306978,,,,0.0008053055076814308,0.0
mc3_hrd_kmt2c,os_event,mc3_clinical,binary,standard_sbs96_id83,auroc,0.6509354451129012,10139,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.6127945053815587,,,,0.0,-0.0008053055076814308
mc3_hrd_kmt2c,os_event,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.6362402226970654,10139,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.6112354683624222,,,,-0.014695222415835874,-0.015500527923517304
mc3_hrd_kmt2c,parpi7_binary,hrd,binary,previous_uga_mean_pooled,auroc,0.6696309304035901,772,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.5992015249073198,,,,0.007196782085340692,0.0
mc3_hrd_kmt2c,parpi7_binary,hrd,binary,standard_sbs96_id83,auroc,0.6624341483182494,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.5806354781094751,,,,0.0,-0.007196782085340692
mc3_hrd_kmt2c,parpi7_binary,hrd,binary,uga_rbf_kernel_mean,auroc,0.6284614345535593,772,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.6220751347051496,,,,-0.03397271376469013,-0.041169495850030824
mc3_hrd_kmt2c,smoking_ever,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.767178537836628,2798,2.0,73,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.7001525806572813,,,,-0.007826126826621538,0.0
mc3_hrd_kmt2c,smoking_ever,mc3_clinical,binary,standard_sbs96_id83,auroc,0.7750046646632496,2798,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.7101973677926177,,,,0.0,0.007826126826621538
mc3_hrd_kmt2c,smoking_ever,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.7554468301623175,2798,2.0,182,5,XGBClassifier(lightweight),5-fold StratifiedKFold,none,160,2,0.05,gpu_hist,0.6929740937657811,,,,-0.01955783450093207,-0.011731707674310532
