Candidate,Sample,Burden,MAE,Cosine,Top1_Process_Match,Reconstruction_Error
fractional_pad,SIM-0178,300,0.0033490620089194306,0.9998882959618561,1.0,0.007456240311841243
fractional_pad,SIM-0179,300,0.06349192332449283,0.5747809102976309,0.0,0.004714045207910347
fractional_pad,SIM-0180,300,0.004881556122170192,0.9990032513756044,1.0,0.005270462766947333
fractional_pad,SIM-0181,300,0.022127056494447628,0.9556288973392539,0.0,0.005270462766947297
fractional_pad,SIM-0182,300,0.004194022330328804,0.9990356187367566,1.0,0.005270462766947297
fractional_pad,SIM-0183,300,0.005734279923884665,0.9986937473913906,1.0,0.0023570226039551345
fractional_pad,SIM-0184,300,0.0036302370715526064,0.9998271529167699,1.0,0.011307328320671554
fractional_pad,SIM-0185,300,0.0038972926608786523,0.9997496296451123,1.0,0.009901157008263226
fractional_pad,SIM-0186,300,0.0071296509812509064,0.9980949417058962,1.0,0.004714045207910347
fractional_pad,SIM-0187,300,0.033947306878449664,0.925779855563122,1.0,0.005270462766947297
fractional_pad,SIM-0188,300,0.0908769415724662,0.30884701052824093,0.0,0.010540925533894612
fractional_pad,SIM-0189,300,0.038611284864516676,0.9429685178419069,1.0,0.009428090415820635
fractional_pad,SIM-0190,300,0.009456234919736396,0.9947082435609386,1.0,0.008498365855987976
fractional_pad,SIM-0191,300,0.011758096040603922,0.9932951826464066,1.0,0.003333333333333327
fractional_pad,SIM-0192,300,0.012477346615545028,0.9928311683856735,1.0,0.006666666666666654
fractional_pad,SIM-0193,300,0.0029537777946290643,0.9997720354223941,1.0,0.009718850713952685
fractional_pad,SIM-0194,300,0.031828042084148425,0.9539305779217264,1.0,0.005270462766947297
fractional_pad,SIM-0195,300,0.007168384988502193,0.9975827793336723,1.0,0.00666666666666671
fractional_pad,SIM-0196,300,0.00795844587843032,0.9972245246603235,1.0,0.0074656211493967515
fractional_pad,SIM-0197,300,0.10499056717626021,0.0957593431510066,0.0,0.005270462766947297
fractional_pad,SIM-0198,300,0.005760963841263105,0.9987394390371769,1.0,0.003333333333333341
fractional_pad,SIM-0199,300,0.007693537029084628,0.9990365020098404,1.0,0.005270462766947289
fractional_pad,SIM-0200,300,0.012286369477636793,0.9901928970822729,1.0,1.5700924586837752e-16
fractional_pad,SIM-0201,300,0.004776636225719175,0.9993157027454772,1.0,0.008498365855987976
fractional_pad,SIM-0202,300,0.03671403059051526,0.9453433575723585,1.0,0.005270462766947324
fractional_pad,SIM-0203,300,0.0036696116637928407,0.999660302195565,1.0,0.0014154065865840694
fractional_pad,SIM-0204,300,0.02141219880349093,0.973670127080135,1.0,0.004714045207910308
fractional_pad,SIM-0205,300,0.004093650464832675,0.999165207177168,1.0,0.00758801897770899
fractional_pad,SIM-0206,300,0.044715750075359745,0.8912239034329159,1.0,0.003333333333333341
fractional_pad,SIM-0207,300,0.016855057738696742,0.985825530640912,1.0,0.003333333333333341
fractional_pad,SIM-0208,300,0.09998023466155263,0.14610517224221645,0.0,0.003333333333333341
fractional_pad,SIM-0209,300,0.004001075798105,0.9996286977566071,1.0,0.009900135324719665
fractional_pad,SIM-0210,300,0.008821012089224095,0.9960460081901408,1.0,0.005461005139873853
fractional_pad,SIM-0211,300,0.005633738585667792,0.9986411850735382,1.0,0.005270462766947324
fractional_pad,SIM-0212,300,0.005145636207459243,0.9987619710795554,1.0,0.004714045207910308
fractional_pad,SIM-0213,300,0.004217631624945329,0.9998014798119638,1.0,0.00527046276694728
fractional_pad,SIM-0214,300,0.03032930839968504,0.9771514783947107,1.0,0.0023570226039551735
fractional_pad,SIM-0215,300,0.051526354041230266,0.789528610104242,0.0,0.005270462766947297
fractional_pad,SIM-0216,300,0.003781899914711522,0.9997404915431138,1.0,0.0034690335599378446
fractional_pad,SIM-0217,300,0.003987004443562402,0.9992845312753722,1.0,0.006666666666666661
fractional_pad,SIM-0218,300,0.024453003324458756,0.9695162058543053,1.0,0.0033333333333333266
fractional_pad,SIM-0219,300,0.0383986306376376,0.8892104638593296,1.0,0.0023570226039551735
fractional_pad,SIM-0220,300,0.01000098791418939,0.9938768055735029,1.0,0.004866024667116087
fractional_pad,SIM-0221,300,0.004004065470347012,0.9998602311837288,1.0,0.0023570226039551345
fractional_pad,SIM-0222,300,0.008667712407512702,0.9947730123756755,1.0,3.6506759942727966e-16
fractional_pad,SIM-0223,300,0.00363880574741125,0.9995677695432719,1.0,0.006542824057844843
fractional_pad,SIM-0224,300,0.003994837413055317,0.9996911342816044,1.0,0.004714045207910347
fractional_pad,SIM-0225,300,0.0059013071865140964,0.9979831833253844,1.0,0.009428090415820635
fractional_pad,SIM-0226,300,0.0380753033089656,0.8935384635437315,0.0,0.003333333333333355
fractional_pad,SIM-0227,300,0.023637823079532,0.9746523067480622,1.0,0.009428090415820656
fractional_pad,SIM-0228,300,0.037015725795949014,0.9262080774022923,1.0,0.0023570226039551735
fractional_pad,SIM-0229,300,0.10862685856658463,0.15307550624468552,0.0,0.004931969051080536
fractional_pad,SIM-0230,300,0.022041774355479694,0.9594184898253252,0.0,0.006666666666666661
fractional_pad,SIM-0231,300,0.05809418911267637,0.7442049446477533,0.0,0.004714045207910308
fractional_pad,SIM-0232,300,0.0046323021254385255,0.9991511495826002,1.0,0.0023570226039551345
fractional_pad,SIM-0233,300,0.004752486987581479,0.999519134078863,1.0,0.008498365855987997
fractional_pad,SIM-0234,300,0.0025779911921672153,0.9998763247393317,1.0,0.018405597431762233
fractional_pad,SIM-0235,300,0.006905993738057628,0.996610365538518,1.0,0.013560608365762148
fractional_pad,SIM-0236,300,0.00720366461901405,0.9979451266889974,1.0,0.0023570226039551345
fractional_pad,SIM-0237,300,0.0049463350902294746,0.999382842763323,1.0,0.005270462766947289
fractional_pad,SIM-0238,300,0.00227545997982531,0.9999469780238879,1.0,0.004219204742817536
fractional_pad,SIM-0239,300,0.006422841393978086,0.9992702321528211,1.0,2.7755575615628914e-16
fractional_pad,SIM-0240,300,0.018798658957526363,0.9850665278932906,1.0,0.005270462766947297
fractional_pad,SIM-0241,300,0.11988592018151997,0.036884818578531466,0.0,0.008498365855988019
fractional_pad,SIM-0242,300,0.0019452192944145936,0.9998687047159188,1.0,0.0035700764985213927
fractional_pad,SIM-0243,300,0.008378587184124084,0.9966396918247122,1.0,0.003333333333333355
fractional_pad,SIM-0244,300,0.005746604641441923,0.999306783725597,1.0,0.0074535599249993065
fractional_pad,SIM-0245,300,0.055405823333700824,0.8302155248816581,1.0,0.01054092553389463
fractional_pad,SIM-0246,300,0.037593135754842674,0.8535083516053951,0.0,0.011785113019775813
fractional_pad,SIM-0247,300,0.07527642166711843,0.5586123781703032,0.0,0.0023570226039551735
fractional_pad,SIM-0248,300,0.00475940352668137,0.9987360385498556,1.0,0.00745355992499931
fractional_pad,SIM-0249,300,0.005087483486840676,0.9995535146324568,1.0,0.008498365855987974
fractional_pad,SIM-0250,300,0.018434789252354544,0.9860179130717434,1.0,0.006666666666666661
fractional_pad,SIM-0251,300,0.03605933684039291,0.957211254978093,1.0,0.0023570226039551735
fractional_pad,SIM-0252,300,0.004516035024962232,0.9982119931539155,1.0,0.009999999999999981
fractional_pad,SIM-0253,300,0.0026020537549988625,0.9998468094219456,1.0,0.011769669558229267
fractional_pad,SIM-0254,300,0.08192615281149226,0.48736945674232485,0.0,0.003333333333333327
fractional_pad,SIM-0255,300,0.009445288554735089,0.9956876468441526,1.0,0.007071067811865481
fractional_pad,SIM-0256,300,0.006426908461840187,0.9982226153405813,1.0,0.004714045207910308
fractional_pad,SIM-0257,300,0.005712442916600181,0.9975898879784683,1.0,0.004746950661955732
fractional_pad,SIM-0258,300,0.003170409717793767,0.9997639549739575,1.0,0.004130317649969759
fractional_pad,SIM-0259,300,0.00721139971862982,0.9965086020262781,0.0,0.010374890453988974
fractional_pad,SIM-0260,300,0.018139416885189524,0.9798552201435273,1.0,0.003333333333333355
fractional_pad,SIM-0261,300,0.012703748384908854,0.9938539666901239,1.0,0.009718253158075497
fractional_pad,SIM-0262,300,0.005738035415169664,0.998368061258127,1.0,0.0023570226039551735
fractional_pad,SIM-0263,300,0.003545495464934339,0.9997159327185742,1.0,0.003333333333333313
fractional_pad,SIM-0264,300,0.006523333068255425,0.9970700596062939,1.0,0.0029143292470165325
fractional_pad,SIM-0265,300,0.00710854495478087,0.9970360653284802,1.0,0.007071067811865481
fractional_pad,SIM-0266,300,0.09843013833657885,0.2208806062768677,0.0,0.0023570226039551735
fractional_pad,SIM-0267,300,0.007227983850975212,0.9975624216424758,1.0,0.00597530495363666
fractional_pad,SIM-0268,300,0.03565604857808991,0.8888924046199833,1.0,0.009718253158075516
fractional_pad,SIM-0269,300,0.005810069179091618,0.9986490269339614,1.0,0.012018504251546625
fractional_pad,SIM-0270,300,0.012223246211315262,0.9888151275100677,1.0,0.003333333333333355
fractional_pad,SIM-0271,300,0.009748956178248775,0.9976270494526742,1.0,0.003333333333333355
fractional_pad,SIM-0272,300,0.0036664260077458686,0.9995809625521429,1.0,0.01005784422945301
fractional_pad,SIM-0273,300,0.006822412700430386,0.9982796575680769,1.0,0.010000000000000009
fractional_pad,SIM-0274,300,0.0023453901422793863,0.9998238662469097,1.0,0.005711717141952462
fractional_pad,SIM-0275,300,0.007672089090207858,0.9951261084491957,1.0,0.016666666666666653
fractional_pad,SIM-0276,300,0.004177595875914566,0.9995502010200153,1.0,0.004714045207910308
fractional_pad,SIM-0277,300,0.07271711916978539,0.5003112290236242,0.0,0.005270462766947297
fractional_pad,SIM-0278,300,0.00444437885414187,0.9993745154528967,1.0,0.005270462766947297
fractional_pad,SIM-0279,300,0.04424485730916547,0.911324539739258,1.0,0.008498365855988019
fractional_pad,SIM-0280,300,0.0025751624561515616,0.9996466917927378,1.0,0.006666666666666668
fractional_pad,SIM-0281,300,0.010834652371853807,0.9958573154552087,1.0,1.6653345369377348e-16
fractional_pad,SIM-0282,300,0.008379056891449016,0.9978830681785844,1.0,0.004714045207910308
fractional_pad,SIM-0283,300,0.005682634371531851,0.9992825450194976,1.0,0.017887500912955896
fractional_pad,SIM-0284,300,0.006212044063041014,0.9985346282168649,1.0,0.007071067811865481
fractional_pad,SIM-0285,300,0.007449477320019555,0.9977938523794434,1.0,0.0047140452079103175
fractional_pad,SIM-0286,300,0.011113450006356822,0.9863187232331663,1.0,0.009718253158075525
fractional_pad,SIM-0287,300,0.007277389219842622,0.9991660754129346,1.0,0.005270462766947324
fractional_pad,SIM-0288,300,0.03896336686131896,0.9449120733574585,1.0,0.01178511301977579
fractional_pad,SIM-0289,300,0.010621968862046544,0.992841972023323,1.0,0.00527046276694728
fractional_pad,SIM-0290,300,0.007223306325989021,0.9963069589462914,1.0,0.014337208778404394
fractional_pad,SIM-0291,300,0.009623895665174204,0.9944582243870098,1.0,0.00379247142031771
fractional_pad,SIM-0292,300,0.006035786286805622,0.9972075599434395,1.0,0.0009105506372411145
fractional_pad,SIM-0293,300,0.03441132257300229,0.889998618301684,1.0,0.004714045207910308
fractional_pad,SIM-0294,300,0.005326495993093987,0.9990666938844134,1.0,0.003333333333333327
fractional_pad,SIM-0295,300,0.006864988108293391,0.9981984896567173,1.0,0.005270462766947297
fractional_pad,SIM-0296,300,0.0026816371309410086,0.999711046482898,1.0,0.020706954769757827
fractional_pad,SIM-0297,300,0.007914455067878873,0.9955189475746005,1.0,0.004714045207910308
fractional_pad,SIM-0298,300,0.012965201422818626,0.9887805647384578,0.0,0.008498365855987974
fractional_pad,SIM-0299,300,0.09201605874898718,0.3843043840039944,0.0,0.0023570226039551345
fractional_pad,SIM-0300,300,0.04621041964871668,0.8567881688243677,1.0,0.005270462766947297
fractional_pad,SIM-0301,300,0.011965749959959778,0.9889839989524284,1.0,0.00745355992499931
fractional_pad,SIM-0302,300,0.03191638904282097,0.961083196976755,1.0,0.005270462766947297
fractional_pad,SIM-0303,300,0.0043387034967956595,0.9990104396960934,1.0,0.004734899662377864
fractional_pad,SIM-0304,300,0.00793551870763821,0.9963472247157703,1.0,0.005270462766947333
fractional_pad,SIM-0305,300,0.005732436502206303,0.9981160313158135,1.0,0.008498365855987965
fractional_pad,SIM-0306,300,0.003050599411531305,0.9998100270544868,1.0,3.2009291313835888e-16
fractional_pad,SIM-0307,300,0.005837195456015877,0.9993134239259236,1.0,0.00745355992499931
fractional_pad,SIM-0308,300,0.005660580712275904,0.9983828479310265,1.0,0.005457664972299967
fractional_pad,SIM-0309,300,0.008724526188126323,0.9972966994747436,1.0,0.005270462766947297
fractional_pad,SIM-0310,300,0.0041405717024750105,0.9995884897999838,1.0,0.004714045207910308
fractional_pad,SIM-0311,300,0.055314323339568615,0.7734100394066409,1.0,0.005270462766947297
fractional_pad,SIM-0312,300,0.00594887508075943,0.998783098386877,1.0,0.0023570226039551345
fractional_pad,SIM-0313,300,0.01348995592329136,0.9914985418454114,1.0,0.007071067811865481
fractional_pad,SIM-0314,300,0.005903236879771419,0.9981991889833045,1.0,0.004714045207910308
fractional_pad,SIM-0315,300,0.049119746786468625,0.9024334084020886,1.0,0.0023570226039551735
fractional_pad,SIM-0316,300,0.028769233702259357,0.9583814071358614,1.0,0.005270462766947289
fractional_pad,SIM-0317,300,0.006781771397192762,0.9981352559147194,1.0,0.006666666666666654
fractional_pad,SIM-0318,300,0.007917192597362281,0.9993549626708916,1.0,0.006666666666666654
fractional_pad,SIM-0319,300,0.0043141025946043104,0.9991984761652009,1.0,0.005270462766947297
fractional_pad,SIM-0320,300,0.04621703744690246,0.7192855166606539,1.0,0.005270462766947297
fractional_pad,SIM-0321,300,0.0025173569313060836,0.9998367479710676,1.0,0.007714911314083844
fractional_pad,SIM-0322,300,0.008672668366140003,0.9964833166651936,1.0,0.003333333333333327
fractional_pad,SIM-0323,300,0.008655845294467454,0.9971410464976718,1.0,0.0023570226039551735
fractional_pad,SIM-0324,300,0.007984591651135799,0.9978248271929011,1.0,0.0033333333333332993
fractional_pad,SIM-0325,300,0.0034841619708934615,0.9993396342154603,1.0,0.005270462766947297
fractional_pad,SIM-0326,300,0.036773185164959914,0.9073427139027591,1.0,0.005270462766947297
fractional_pad,SIM-0327,300,0.1052742146717783,0.18647994948078342,0.0,0.007453559924999273
fractional_pad,SIM-0328,300,0.00456213152703959,0.999613613502395,1.0,0.0047140452079103175
fractional_pad,SIM-0329,300,0.013571799382278869,0.9899541296992587,1.0,0.014337208778404387
fractional_pad,SIM-0330,300,0.0460938914213922,0.8998738375945102,1.0,0.01054092553389462
fractional_pad,SIM-0331,300,0.02463067578536204,0.9756798929938861,1.0,0.004714045207910328
fractional_pad,SIM-0332,300,0.007030715611696308,0.9983843831356959,1.0,0.004714045207910308
fractional_pad,SIM-0333,300,0.03556247367726064,0.9237664816236096,1.0,0.004714045207910308
fractional_pad,SIM-0334,300,0.0076099138454051585,0.9947144559675706,1.0,0.009718253158075525
fractional_pad,SIM-0335,300,0.006955564915320212,0.9977231580546663,1.0,0.003333333333333355
fractional_pad,SIM-0336,300,0.059994742211349095,0.7391570439394208,0.0,0.0033333333333333266
fractional_pad,SIM-0337,300,0.006883023421976514,0.9978691630530749,1.0,0.005270462766947289
fractional_pad,SIM-0338,300,0.012882036596238162,0.9906783263449811,1.0,0.009428090415820656
fractional_pad,SIM-0339,300,0.002693381588097653,0.9995548221602933,1.0,0.0023570226039551345
