Sample,Target_Modality,Method,MAE,Cosine,Top1_Process_Match
SIM-0082,DBS,Oracle label bridge,0.0248172864280454,0.968728506776088,1.0
SIM-0082,DBS,Standard no-bridge cohort mean,0.10967010160472111,0.5291126353820408,0.0
SIM-0082,DBS,Standard random bridge,0.10058109201990907,0.555617974052535,1.0
SIM-0078,DBS,UGA unsupervised bridge,0.015890113562631415,0.9902637845427414,1.0
SIM-0078,DBS,Oracle label bridge,0.015890113562631418,0.9902637845427414,1.0
SIM-0078,DBS,Standard no-bridge cohort mean,0.10938052553281567,0.5277198718484647,0.0
SIM-0078,DBS,Standard random bridge,0.15614558032031842,0.03982977796518728,0.0
SIM-0197,DBS,UGA unsupervised bridge,0.014264060666713445,0.9960258310464197,1.0
SIM-0197,DBS,Oracle label bridge,0.014264060666713445,0.9960258310464197,1.0
SIM-0197,DBS,Standard no-bridge cohort mean,0.1301064252152235,0.39006047338539485,0.0
SIM-0197,DBS,Standard random bridge,0.15811083151774372,0.04751103526152312,0.0
SIM-0460,DBS,UGA unsupervised bridge,0.005630079730673193,0.9984316118170654,0.0
SIM-0460,DBS,Oracle label bridge,0.005630079730673193,0.9984316118170654,0.0
SIM-0460,DBS,Standard no-bridge cohort mean,0.1178634487117407,0.5431743358607156,1.0
SIM-0460,DBS,Standard random bridge,0.10866057869852463,0.35615965146927836,1.0
SIM-0131,DBS,UGA unsupervised bridge,0.03260325132568559,0.9508585473391417,0.0
SIM-0131,DBS,Oracle label bridge,0.03260325132568559,0.9508585473391417,0.0
SIM-0131,DBS,Standard no-bridge cohort mean,0.1227639602266688,0.41441926943972823,0.0
SIM-0131,DBS,Standard random bridge,0.15127452480359047,0.11934967961304266,0.0
SIM-0218,DBS,UGA unsupervised bridge,0.022417984189816737,0.9814463949985216,1.0
SIM-0218,DBS,Oracle label bridge,0.022417984189816734,0.9814463949985217,1.0
SIM-0218,DBS,Standard no-bridge cohort mean,0.14064692573780238,0.2790126675703099,0.0
SIM-0218,DBS,Standard random bridge,0.1664160581861219,0.0019514791013838383,0.0
