Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Supplementary,eCARD,Bio MAF v4,XGBoost,Spearman r,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,1,5,0.2,0.4446959852213628,0.5462865015967757,Selected in 1 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,XGBoost,Spearman r,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.5209629080596822,0.5551904686048802,Selected in 1 of 5 outer folds.
Supplementary,eCARD,Bio MAF v4,XGBoost,Spearman r,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,3,5,0.6,0.4672676810934895,0.537506367541719,Selected in 3 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,Elastic net,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,5,5,1.0,0.5462556511146207,0.5134360740693562,Selected in 5 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.5483016983016983,0.5353197952143491,Selected in 2 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.5512604744132452,0.5292967626933471,Selected in 1 of 5 outer folds.
Supplementary,eCARD,Signatures + Bio MAF v4,XGBoost,Spearman r,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.5461892945763913,0.47825376018061977,Selected in 2 of 5 outer folds.
Supplementary,PFI survival,Bio MAF v4,CoxNet,Harrell C-index,Compact biology + evidence-confidence controls,137,137,Compact biological annotation core; external evidence-confidence controls,No,No,No,1,5,0.2,0.6222782968304553,0.5933572463185484,Selected in 1 of 5 outer folds.
Supplementary,PFI survival,Bio MAF v4,CoxNet,Harrell C-index,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,3,5,0.6,0.6204517323190538,0.6270878818824744,Selected in 3 of 5 outer folds.
Supplementary,PFI survival,Bio MAF v4,CoxNet,Harrell C-index,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,1,5,0.2,0.6083260674681632,0.6323069403714565,Selected in 1 of 5 outer folds.
Supplementary,PFI survival,Signatures + Bio MAF v4,CoxNet,Harrell C-index,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.6181896522131299,0.6302603632198172,Selected in 1 of 5 outer folds.
Supplementary,PFI survival,Signatures + Bio MAF v4,CoxNet,Harrell C-index,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,4,5,0.8,0.6237658301313292,0.6309478730934908,Selected in 4 of 5 outer folds.
