alias	approved_symbol	hgnc_id	source
ABCD1P2	ABCD1P2	HGNC:63	approved_symbol
ABCD1P3	ABCD1P3	HGNC:64	approved_symbol
ABCD1P4	ABCD1P4	HGNC:65	approved_symbol
ABCD1P5	ABCD1P5	HGNC:42662	approved_symbol
ABCD2	ABCD2	HGNC:66	approved_symbol
ABCD3	ABCD3	HGNC:67	approved_symbol
ABCD4	ABCD4	HGNC:68	approved_symbol
ABCD_1	CCL22	HGNC:10621	alias_symbol
ABCD_2	CCL17	HGNC:10615	alias_symbol
ABCD_3	CX3CL1	HGNC:10647	alias_symbol
ABCE1	ABCE1	HGNC:69	approved_symbol
ABCE1P1	ABCE1P1	HGNC:58656	approved_symbol
ABCE1P2	ABCE1P2	HGNC:58657	approved_symbol
ABCE1P3	ABCE1P3	HGNC:58658	approved_symbol
ABCF1	ABCF1	HGNC:70	approved_symbol
ABCF1_DT	ABCF1_DT	HGNC:53628	approved_symbol
ABCF2	ABCF2	HGNC:71	approved_symbol
ABCF2P1	ABCF2P1	HGNC:48841	approved_symbol
