hugo_symbol	entrez_gene_id	oncogene	tsg	source_url
BRD4	23476	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRD9	65980	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRIP1	83990	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BRSK1	84446	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BTG1	694	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BTG2	7832	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BTK	695	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BTLA	151888	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
BUB1B	701	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CACNA1D	776	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CAD	790	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CALR	811	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CAMTA1	23261	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CANT1	124583	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CARD11	84433	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CARM1	10498	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CARS1	833	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CASP8	841	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CASR	846	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CAV1	857	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CBFA2T3	863	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CBFB	865	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CBL	867	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CBLB	868	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CBLC	23624	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCAR1	55749	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCDC6	8030	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCN6	8838	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCNB1IP1	57820	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCNB3	85417	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCND1	595	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCND2	894	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCND3	896	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCNE1	898	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCNQ	92002	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCT2	10576	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CCT6B	10693	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD19	930	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD22	933	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD274	29126	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD276	80381	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD28	940	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD33	945	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD36	948	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD58	965	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD70	970	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD74	972	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD79A	973	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CD79B	974	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDC42	998	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDC73	79577	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDH1	999	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDH11	1009	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDH2	1000	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDH4	1002	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDK12	51755	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDK4	1019	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDK6	1021	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDK7	1022	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDK8	1024	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDKN1A	1026	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDKN1B	1027	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDKN1C	1028	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDKN2A	1029	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDKN2B	1030	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDKN2C	1031	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CDX2	1045	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CEBPA	1050	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CENPA	1058	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CEP43	11116	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHCHD7	79145	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHD2	1106	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHD4	1108	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHEK1	1111	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHEK2	11200	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHIC2	26511	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHN1	1123	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHTF8	54921	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CHUK	1147	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CIC	23152	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CIITA	4261	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CILK1	22858	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CKS1B	1163	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CLIP1	6249	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CLP1	10978	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CLTC	1213	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CLTCL1	8218	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CMTR2	55783	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CNBP	7555	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CNOT3	4849	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CNTRL	11064	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
COL1A1	1277	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
COL2A1	1280	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
COL5A1	1289	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
COP1	64326	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CPS1	1373	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CRBN	51185	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CREB1	1385	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CREB3L1	90993	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CREB3L2	64764	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CREBBP	1387	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CREM	1390	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CRKL	1399	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CRLF2	64109	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CRTC1	23373	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CRTC3	64784	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CSDE1	7812	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CSF1	1435	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CSF1R	1436	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CSF3R	1441	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CTC1	80169	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CTCF	10664	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CTDNEP1	23399	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CTLA4	1493	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CTNNA1	1495	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CTNNB1	1499	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CTR9	9646	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CUL3	8452	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CUL4A	8451	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CUX1	1523	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CXCR4	7852	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CYLD	1540	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CYP17A1	1586	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CYP19A1	1588	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
CYSLTR2	57105	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
D2HGDH	728294	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DAXX	1616	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DAZAP1	26528	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DCTN1	1639	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DCUN1D1	54165	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDB2	1643	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDIT3	1649	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDR1	780	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDR2	4921	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDX10	1662	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDX3X	1654	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDX4	54514	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDX41	51428	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDX5	1655	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DDX6	1656	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DEK	7913	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DHX15	1665	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DICER1	23405	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DIS3	22894	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DIS3L2	129563	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DKK1	22943	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DKK2	27123	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DKK3	27122	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DKK4	27121	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DLL3	10683	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DNAJB1	3337	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DNM2	1785	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DNMT1	1786	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DNMT3A	1788	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DNMT3B	1789	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DOT1L	84444	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DPYD	1806	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DROSHA	29102	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DTX1	1840	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DUSP2	1844	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DUSP22	56940	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DUSP4	1846	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
DUSP9	1852	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
E2F3	1871	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EBF1	1879	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ECSIT	51295	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ECT2L	345930	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EED	8726	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EGFL7	51162	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EGFR	1956	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EGR1	1958	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EGR2	1959	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EIF1AX	1964	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EIF2B1	1967	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EIF3E	3646	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EIF4A2	1974	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EIF4E	1977	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELF3	1999	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELF4	2000	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELK4	2005	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELL	8178	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELL2	22936	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELN	2006	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELOC	6921	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
ELP2	55250	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EML4	27436	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EMSY	56946	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EP300	2033	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EP400	57634	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPAS1	2034	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPCAM	4072	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPHA3	2042	False	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPHA5	2044	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPHA7	2045	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPHB1	2047	True	True	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPHB4	2050	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPOR	2057	True	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
EPS15	2060	False	False	https://public.api.oncokb.org/api/v1/utils/cancerGeneList
