Endpoint tier,Endpoint,Representation,Model,Primary metric,Selected feature-set label,Selected total features,Selected Bio MAF features,Selected Bio MAF blocks,Includes mutational signatures,Includes exact driver genes,Includes optional burden controls,Outer folds selected,Outer folds evaluated,Fold selection fraction,Mean inner-validation score,Mean outer-fold score,Selection interpretation
Main,HRD24 high/low,Bio MAF v4,Elastic net,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,2,5,0.4,0.8205063715627097,0.8373574782025486,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,Elastic net,AUROC,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,2,5,0.4,0.8750838363514419,0.8465136054421769,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,XGBoost,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,1,5,0.2,0.8953722334004024,0.9013605442176872,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,XGBoost,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.9126425217974514,0.8841381623071763,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Bio MAF v4,XGBoost,AUROC,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,3,5,0.6,0.8963503241672256,0.8352199302142941,Selected in 3 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.8953722334004024,0.8613945578231293,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,3,5,0.6,0.8395372233400402,0.8326323017469899,Selected in 3 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.8288061703554661,0.8367554725946037,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,2,5,0.4,0.8948692152917505,0.881227843249976,Selected in 2 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Compact biology only,303,121,Compact biological annotation core,Yes,No,No,1,5,0.2,0.8641851106639838,0.7860173086713049,Selected in 1 of 5 outer folds.
Main,HRD24 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.8803655264922869,0.871469291942129,Selected in 2 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,3,5,0.6,0.8676779616495929,0.848607704940972,Selected in 3 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + hotspot summaries,125,125,Compact biological annotation core; cancer hotspot summaries,No,No,No,1,5,0.2,0.8341213553979511,0.8144208037825059,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,Elastic net,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,1,5,0.2,0.8534278959810875,0.8852654603300855,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,XGBoost,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,3,5,0.6,0.8956199106908326,0.8837399550668389,Selected in 3 of 5 outer folds.
Main,HRD33 high/low,Bio MAF v4,XGBoost,AUROC,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,2,5,0.4,0.9007584712371947,0.8807573481216351,Selected in 2 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Compact biology + evidence-confidence controls,319,137,Compact biological annotation core; external evidence-confidence controls,Yes,No,No,2,5,0.4,0.9136130811662727,0.8352053060045617,Selected in 2 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,2,5,0.4,0.8124507486209613,0.8611111111111112,Selected in 2 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.894602048857368,0.8997812686418771,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.9432624113475178,0.875402576489533,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.9351851851851852,0.9210007880220646,Selected in 1 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,2,5,0.4,0.9449862096138693,0.8888516051346635,Selected in 2 of 5 outer folds.
Main,HRD33 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures only; no Bio MAF block,182,0,None,Yes,No,No,1,5,0.2,0.9017927501970056,0.8104991051898985,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + evidence-confidence controls,137,137,Compact biological annotation core; external evidence-confidence controls,No,No,No,1,5,0.2,0.8445333333333334,0.8797333333333334,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + exact driver genes,923,923,Compact biological annotation core; exact consensus driver-gene identity,No,Yes,No,1,5,0.2,0.8824,0.8908602150537634,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology + hotspot summaries,125,125,Compact biological annotation core; cancer hotspot summaries,No,No,No,2,5,0.4,0.9063999999999999,0.8528795698924732,Selected in 2 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,Elastic net,AUROC,Compact biology only,121,121,Compact biological annotation core,No,No,No,1,5,0.2,0.8872,0.7999999999999999,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,XGBoost,AUROC,Compact biology only,121,121,Compact biological annotation core,No,No,No,1,5,0.2,0.8837333333333334,0.8712,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,XGBoost,AUROC,Full core + optional burden/composition controls,948,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,No,Yes,Yes,2,5,0.4,0.8785333333333333,0.8813172043010753,Selected in 2 of 5 outer folds.
Main,HRD42 high/low,Bio MAF v4,XGBoost,AUROC,Full strict Bio MAF core,943,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,No,Yes,No,2,5,0.4,0.899,0.8702849462365592,Selected in 2 of 5 outer folds.
Main,HRD42 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Compact biology + hotspot summaries,307,125,Compact biological annotation core; cancer hotspot summaries,Yes,No,No,4,5,0.8,0.8899333333333332,0.9126774193548387,Selected in 4 of 5 outer folds.
Main,HRD42 high/low,Signatures + Bio MAF v4,Elastic net,AUROC,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.9042666666666668,0.8970430107526881,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Compact biology + exact driver genes,1105,923,Compact biological annotation core; exact consensus driver-gene identity,Yes,Yes,No,1,5,0.2,0.9224,0.943010752688172,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Compact biology only,303,121,Compact biological annotation core,Yes,No,No,1,5,0.2,0.9189333333333332,0.9233870967741936,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full core + optional burden/composition controls,1130,948,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries; optional burden and event-composition controls,Yes,Yes,Yes,1,5,0.2,0.9408,0.9272,Selected in 1 of 5 outer folds.
Main,HRD42 high/low,Signatures + Bio MAF v4,XGBoost,AUROC,Signatures + Full strict Bio MAF core,1125,943,Compact biological annotation core; external evidence-confidence controls; exact consensus driver-gene identity; cancer hotspot summaries,Yes,Yes,No,1,5,0.2,0.9346666666666666,0.952,Selected in 1 of 5 outer folds.
