feature,mean_abs_shap
driver_gene_functional_event_log_count__RUNX1T1,0.0
driver_gene_role_matched_event_log_count__RUNX1T1,0.0
driver_gene_functional_event_log_count__RXRA,0.0
driver_gene_role_matched_event_log_count__RXRA,0.0
driver_gene_functional_event_log_count__SDHA,0.0
driver_gene_role_matched_event_log_count__SDHA,0.0
driver_gene_functional_event_log_count__RB1,0.0
driver_gene_role_matched_event_log_count__SDHAF2,0.0
driver_gene_functional_event_log_count__SESN2,0.0
driver_gene_role_matched_event_log_count__SESN2,0.0
driver_gene_functional_event_log_count__SETBP1,0.0
driver_gene_role_matched_event_log_count__SETBP1,0.0
driver_gene_functional_event_log_count__SETD2,0.0
driver_gene_role_matched_event_log_count__SETD2,0.0
driver_gene_functional_event_log_count__SF3B1,0.0
driver_gene_role_matched_event_log_count__SF3B1,0.0
driver_gene_functional_event_log_count__SH2B3,0.0
driver_gene_role_matched_event_log_count__SH2B3,0.0
driver_gene_functional_event_log_count__SMAD2,0.0
driver_gene_role_matched_event_log_count__SMAD2,0.0
driver_gene_functional_event_log_count__SDHAF2,0.0
driver_gene_role_matched_event_log_count__RB1,0.0
driver_gene_functional_event_log_count__RBM10,0.0
driver_gene_role_matched_event_log_count__RBM10,0.0
driver_gene_functional_event_log_count__RBM15,0.0
driver_gene_role_matched_event_log_count__RBM15,0.0
driver_gene_functional_event_log_count__RECQL4,0.0
driver_gene_role_matched_event_log_count__RECQL4,0.0
driver_gene_functional_event_log_count__RET,0.0
driver_gene_role_matched_event_log_count__RET,0.0
driver_gene_functional_event_log_count__RHEB,0.0
driver_gene_role_matched_event_log_count__RHEB,0.0
driver_gene_functional_event_log_count__RHOA,0.0
driver_gene_role_matched_event_log_count__RPTOR,0.0
driver_gene_functional_event_log_count__RICTOR,0.0
driver_gene_role_matched_event_log_count__RICTOR,0.0
driver_gene_functional_event_log_count__RIT1,0.0
driver_gene_role_matched_event_log_count__RIT1,0.0
driver_gene_functional_event_log_count__RNF43,0.0
driver_gene_role_matched_event_log_count__RNF43,0.0
driver_gene_functional_event_log_count__ROS1,0.0
driver_gene_role_matched_event_log_count__ROS1,0.0
driver_gene_functional_event_log_count__RPL5,0.0
driver_gene_role_matched_event_log_count__RPL5,0.0
driver_gene_functional_event_log_count__RPS6KA4,0.0
driver_gene_role_matched_event_log_count__RPS6KA4,0.0
driver_gene_functional_event_log_count__RPTOR,0.0
driver_gene_role_matched_event_log_count__RHOA,0.0
driver_gene_role_matched_event_log_count__BCL2L11,0.0
driver_gene_functional_event_log_count__BCL6,0.0
driver_gene_role_matched_event_log_count__BCL6,0.0
driver_gene_functional_event_log_count__BCL7A,0.0
driver_gene_role_matched_event_log_count__BCL7A,0.0
driver_gene_functional_event_log_count__BCL9,0.0
driver_gene_role_matched_event_log_count__BCL9,0.0
driver_gene_functional_event_log_count__BCL9L,0.0
driver_gene_role_matched_event_log_count__BCL9L,0.0
driver_gene_functional_event_log_count__BCOR,0.0
driver_gene_role_matched_event_log_count__BCOR,0.0
driver_gene_functional_event_log_count__BCORL1,0.0
dbs_fraction,0.0
driver_gene_functional_event_log_count__BCR,0.0
driver_gene_role_matched_event_log_count__BCR,0.0
driver_gene_functional_event_log_count__BIRC3,0.0
driver_gene_role_matched_event_log_count__BIRC3,0.0
driver_gene_functional_event_log_count__BMPR1A,0.0
driver_gene_role_matched_event_log_count__BMPR1A,0.0
driver_gene_functional_event_log_count__BRAF,0.0
driver_gene_role_matched_event_log_count__BRAF,0.0
driver_gene_functional_event_log_count__BRCA1,0.0
driver_gene_role_matched_event_log_count__BRCA1,0.0
driver_gene_functional_event_log_count__BRCA2,0.0
driver_gene_role_matched_event_log_count__BRCA2,0.0
driver_gene_functional_event_log_count__BRD4,0.0
driver_gene_role_matched_event_log_count__BCORL1,0.0
driver_gene_functional_event_log_count__ASXL2,0.0
driver_gene_role_matched_event_log_count__ASXL2,0.0
driver_gene_functional_event_log_count__ATM,0.0
